ID,Text,Label 1,Label 2,Label 3,AggregatedTag,Support
2168_Cleand_Climate2.csv,RT @GEOWASHAXE: #CLIMATECHANGEISREAL THESE #DELUSIONALPEOPLE ARE #MELTING #WINNING WHILST THEY #MELT ! DEAN @GEOWASHAX,10,5,10,25,1
1607_Cleand_Climate2.csv,Birders Don't Need to Be Told That Catastrophic Climate Change Approaches: Audubon https://t.co/2bUt1XWc8T #environment | More w/ Eco-Search: https://t.co/ilREiNXvRL,10,10,0,20,1
2206_Cleand_Climate2.csv,RT @HowTwoVegan: Everyone's suddenly posting &worried about climate change yet they still won't go vegan?! https://t.co/oCjVBPwiO8 I,10,5,10,25,1
3196_Cleand_Climate2.csv,US Airforce surveillance of the Manipulation #IDoNotConsent #WeDoNotConsent #OpEvidence #opstopchemtrails #Chemtrails #SkyBastard #Geoengineering #climatechange #SRM #Cloudseeding #BigMoney #NEXRAD #LookUp #SilentWarfare #WeatherWarfare #MAGA #potus #breakingnews https://t.co/9bIUaxuAjs,10,0,10,20,1
2765_Cleand_Climate2.csv,RT @jdsutter: How to talk about hurricanes in the climate-change era? Start by banishing the word natural from your vocabulary - that s w,10,10,5,25,1
2611_Cleand_Climate2.csv,RT @bstfrnd : I hate to be that dude but Climate change is serious,10,10,10,30,1
2951_Cleand_Climate2.csv,RT @stuarthorrex: Great for the economy though: #growth. Another reason to change the measures? https://t.co/b9KMsRpMnS,10,5,5,20,1
2786_Cleand_Climate2.csv,RT @khalid_Richifa: Climate change affect us directly and indirectly https://t.co/eAgsJa8cUj,10,10,10,30,1
2665_Cleand_Climate2.csv,RT @drfrances: What genuine no-bullshit ambition on climate change would look like https://t.co/t8iTnKvttv via @voxdotcom,10,10,10,30,1
3248_Cleand_Climate2.csv,Why Indonesia Is One of the Worst Climate Change Offenders in the World Jakarta Video https://t.co/Bbyhusy7R3 https://t.co/H7OAhv5XVX,10,10,10,30,1
2779_Cleand_Climate2.csv,RT @kamerynstacia: reminder that the meat and dairy industry is the leading cause of climate change. change your eating habits and for the,10,5,5,20,1
1399_Cleand_Climate2.csv,@GeraldoRivera The only people with that question are those with no real grasp of science. Even taking a geology 101 class in college is sufficient to wholly debunk this climate change nonsense. The hoax of climate change is only about political power and,10,0,10,20,1
2656_Cleand_Climate2.csv,RT @denisohare: @realDonaldTrump But what are you doing about Climate Change? Can I sue you for your disastrous inaction?,10,10,5,25,1
3311_Cleand_Climate2.csv,so are we going to continue to ignore that animal agriculture is one of the main causes of climate change or what,10,10,10,30,1
1964_Cleand_Climate2.csv,Our keynote speaker @ProfMarkHowden Director Climate Change Institute Australia National University talks about the climate change strategy for Landcare #landcareconf18 https://t.co/uImv3mrb5y,10,5,10,25,1
2946_Cleand_Climate2.csv,RT @sp00kyong: the world doesnt have 12 years left. its referring to that we must act now on climate change otherwise it will be near impos,10,5,5,20,1
1687_Cleand_Climate2.csv,Catastrophic #ClimateChange by 2030 https://t.co/UxSj1nrZcV #GlobalWarming @climatedesk,10,10,10,30,1
3149_Cleand_Climate2.csv,This earth is gonna fall out of orbit watch,0,10,10,20,1
